,player_id,alt_player_id,player_name,school,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Long Rushing,Mean Long Rushing,Highest Long Rushing,Lowest Long Rushing,Total Receptions,Mean Receptions,Highest Receptions,Lowest Receptions,Total Receiving Yards,Mean Receiving Yards,Highest Receiving Yards,Lowest Receiving Yards,Total Yards Per Reception,Mean Yards Per Reception,Highest Yards Per Reception,Lowest Yards Per Reception,Total Long Reception,Mean Long Reception,Highest Long Reception,Lowest Long Reception,Total Receiving Touchdowns,Mean Receiving Touchdowns,Highest Receiving Touchdowns,Lowest Receiving Touchdowns
25682,103885,3919104,Kerrith Whyte Jr.,Florida Atlantic,232.0,77.33333333333333,134.0,43.0,1358.0,452.6666666666667,866.0,145.0,16.2,5.3999999999999995,6.5,3.4,22.0,3.6666666666666665,8.0,1.0,181.0,60.333333333333336,82.0,22.0,22.0,7.333333333333333,10.0,5.0,227.0,75.66666666666667,160.0,21.0,26.8,8.933333333333334,16.0,4.2,101.0,33.666666666666664,75.0,9.0,4.0,0.6666666666666666,2.0,0.0
26229,103633,3886818,Myles Gaskin,Washington,945.0,236.25,259.0,222.0,5323.0,1330.75,1380.0,1268.0,22.6,5.65,6.2,4.9,114.0,14.25,21.0,10.0,303.0,75.75,86.0,68.0,65.0,16.25,21.0,6.0,465.0,116.25,232.0,19.0,26.3,6.575,12.2,3.2,122.0,30.5,76.0,8.0,10.0,1.25,3.0,0.0
27885,103866,4035006,Elijah Holyfield,Georgia,215.0,71.66666666666667,159.0,6.0,1340.0,446.6666666666667,1018.0,29.0,17.1,5.7,6.4,4.8,18.0,3.6,7.0,0.0,114.0,38.0,66.0,9.0,7.0,2.3333333333333335,5.0,1.0,63.0,21.0,40.0,4.0,31.0,10.333333333333334,19.0,4.0,47.0,15.666666666666666,24.0,4.0,0.0,0.0,0.0,0.0
28383,103618,3929927,Karan Higdon,Michigan,471.0,117.75,224.0,11.0,2616.0,654.0,1178.0,19.0,19.0,4.75,6.1,1.7,54.0,7.714285714285714,11.0,0.0,198.0,49.5,77.0,9.0,16.0,5.333333333333333,8.0,1.0,177.0,59.0,131.0,3.0,25.5,8.5,16.4,3.0,53.0,17.666666666666668,35.0,3.0,0.0,0.0,0.0,0.0
28576,103740,3123675,Jalin Moore,Appalachian State,582.0,145.5,237.0,63.0,3570.0,892.5,1402.0,400.0,25.3,6.325,7.4,5.7,66.0,8.25,12.0,5.0,257.0,64.25,81.0,55.0,23.0,7.666666666666667,12.0,5.0,235.0,78.33333333333333,163.0,32.0,26.7,8.9,13.6,6.4,100.0,33.333333333333336,75.0,11.0,2.0,0.2857142857142857,1.0,0.0
29126,103755,3929828,LJ Scott,Michigan State,610.0,152.5,201.0,79.0,2855.0,713.75,994.0,264.0,18.0,4.5,5.4,3.3,50.0,7.142857142857143,11.0,0.0,157.0,39.25,61.0,14.0,43.0,10.75,20.0,3.0,403.0,100.75,147.0,15.0,36.5,9.125,14.7,5.0,131.0,32.75,64.0,9.0,4.0,0.5714285714285714,1.0,0.0
29815,103775,3886636,Alex Barnes,Kansas State,458.0,152.66666666666666,256.0,56.0,2616.0,872.0,1355.0,442.0,18.8,6.266666666666667,7.9,5.3,50.0,8.333333333333334,12.0,6.0,161.0,53.666666666666664,75.0,31.0,25.0,12.5,20.0,5.0,223.0,111.5,194.0,29.0,15.5,7.75,9.7,5.8,41.0,20.5,30.0,11.0,0.0,0.0,0.0,0.0
30044,103917,3884368,James Williams,Washington State,316.0,105.33333333333333,122.0,92.0,1539.0,513.0,584.0,395.0,14.6,4.866666666666666,5.7,4.3,38.0,6.333333333333333,12.0,1.0,108.0,36.0,43.0,27.0,202.0,67.33333333333333,83.0,48.0,1437.0,479.0,613.0,342.0,21.299999999999997,7.099999999999999,7.4,6.8,94.0,31.333333333333332,41.0,24.0,16.0,2.6666666666666665,4.0,1.0
30888,103799,3699935,Devine Ozigbo,Nebraska,419.0,104.75,155.0,38.0,2196.0,549.0,1082.0,209.0,20.5,5.125,7.0,3.8,42.0,5.25,12.0,1.0,167.0,41.75,66.0,28.0,49.0,12.25,23.0,5.0,488.0,122.0,203.0,62.0,48.900000000000006,12.225000000000001,20.0,7.7,125.0,31.25,39.0,19.0,0.0,0.0,0.0,0.0
32643,103682,3693033,Jacques Patrick,Florida State,366.0,91.5,134.0,61.0,1790.0,447.5,748.0,314.0,19.799999999999997,4.949999999999999,5.7,3.5,34.0,4.25,7.0,1.0,156.0,39.0,69.0,18.0,48.0,12.0,21.0,4.0,358.0,89.5,171.0,21.0,29.800000000000004,7.450000000000001,10.3,5.3,88.0,22.0,35.0,13.0,2.0,0.25,1.0,0.0
33039,103761,3843406,Nick Brossette,LSU,286.0,71.5,240.0,12.0,1345.0,336.25,1039.0,65.0,24.5,6.125,9.7,4.3,28.0,5.6,14.0,0.0,135.0,33.75,60.0,10.0,15.0,7.5,14.0,1.0,77.0,38.5,78.0,-1.0,4.6,2.3,5.6,-1.0,15.0,7.5,15.0,0.0,0.0,0.0,0.0,0.0
34738,104430,4242214,Clyde Edwards-Helaire,LSU,370.0,123.33333333333333,215.0,9.0,2103.0,701.0,1414.0,31.0,14.5,4.833333333333333,6.6,3.4,46.0,9.2,16.0,0.0,146.0,48.666666666666664,89.0,10.0,69.0,23.0,55.0,3.0,595.0,198.33333333333334,453.0,46.0,32.2,10.733333333333334,15.3,8.2,83.0,27.666666666666668,30.0,26.0,2.0,0.4,1.0,0.0
35021,104118,4259545,D'Andre Swift,Georgia,440.0,146.66666666666666,196.0,81.0,2885.0,961.6666666666666,1218.0,618.0,20.2,6.733333333333333,7.6,6.2,40.0,6.666666666666667,10.0,3.0,201.0,67.0,83.0,47.0,73.0,24.333333333333332,32.0,17.0,666.0,222.0,297.0,153.0,27.3,9.1,9.3,9.0,122.0,40.666666666666664,48.0,35.0,10.0,1.6666666666666667,3.0,1.0
35894,104135,4240021,Cam Akers,Florida State,586.0,195.33333333333334,231.0,161.0,2874.0,958.0,1144.0,706.0,14.7,4.8999999999999995,5.3,4.4,54.0,9.0,14.0,6.0,198.0,66.0,85.0,50.0,69.0,23.0,30.0,16.0,486.0,162.0,225.0,116.0,21.1,7.033333333333334,7.5,6.3,88.0,29.333333333333332,44.0,19.0,14.0,2.3333333333333335,4.0,1.0
36178,104134,4241985,J.K. Dobbins,Ohio State,725.0,241.66666666666666,301.0,194.0,4459.0,1486.3333333333333,2003.0,1053.0,18.5,6.166666666666667,7.2,4.6,76.0,12.666666666666666,21.0,7.0,187.0,62.333333333333336,77.0,42.0,71.0,23.666666666666668,26.0,22.0,645.0,215.0,263.0,135.0,26.9,8.966666666666667,10.7,6.1,81.0,27.0,35.0,18.0,10.0,1.6666666666666667,2.0,1.0
36557,104155,4239934,AJ Dillon,Boston College,845.0,281.6666666666667,318.0,227.0,4382.0,1460.6666666666667,1685.0,1108.0,15.5,5.166666666666667,5.3,4.9,76.0,12.666666666666666,14.0,10.0,210.0,70.0,75.0,61.0,21.0,10.5,13.0,8.0,236.0,118.0,195.0,41.0,20.1,10.05,15.0,5.1,57.0,28.5,42.0,15.0,4.0,0.8,1.0,0.0
37650,104222,4035676,Zack Moss,Utah,712.0,178.0,235.0,84.0,4067.0,1016.75,1416.0,382.0,22.1,5.525,6.1,4.5,76.0,9.5,15.0,2.0,286.0,71.5,91.0,51.0,66.0,16.5,29.0,1.0,685.0,171.25,388.0,4.0,32.6,8.15,13.9,4.0,113.0,28.25,69.0,4.0,6.0,0.75,2.0,0.0
38042,104463,4036431,Darrynton Evans,Appalachian State,482.0,160.66666666666666,255.0,48.0,2884.0,961.3333333333334,1480.0,217.0,16.9,5.633333333333333,6.6,4.5,50.0,8.333333333333334,18.0,0.0,191.0,63.666666666666664,87.0,25.0,39.0,13.0,21.0,6.0,319.0,106.33333333333333,198.0,34.0,22.4,7.466666666666666,9.4,5.7,106.0,35.333333333333336,58.0,23.0,12.0,2.0,5.0,0.0
39158,104226,4034952,La'Mical Perine,Florida,493.0,123.25,136.0,91.0,2485.0,621.25,826.0,421.0,20.0,5.0,6.2,4.1,44.0,5.5,8.0,1.0,250.0,62.5,88.0,29.0,72.0,18.0,40.0,9.0,674.0,168.5,262.0,81.0,45.7,11.425,17.9,6.6,143.0,35.75,63.0,18.0,16.0,2.0,5.0,1.0
39406,104443,4241941,Anthony McFarland Jr.,Maryland,245.0,122.5,131.0,114.0,1648.0,824.0,1034.0,614.0,13.3,6.65,7.9,5.4,24.0,6.0,8.0,4.0,161.0,80.5,81.0,80.0,24.0,12.0,17.0,7.0,199.0,99.5,126.0,73.0,17.8,8.9,10.4,7.4,85.0,42.5,46.0,39.0,2.0,0.5,1.0,0.0
40312,104487,4240631,DeeJay Dallas,Miami,265.0,88.33333333333333,115.0,41.0,1527.0,509.0,693.0,217.0,17.0,5.666666666666667,6.0,5.3,34.0,5.666666666666667,8.0,3.0,184.0,61.333333333333336,83.0,39.0,28.0,9.333333333333334,14.0,4.0,317.0,105.66666666666667,140.0,85.0,41.5,13.833333333333334,23.0,8.5,117.0,39.0,49.0,26.0,4.0,0.6666666666666666,2.0,0.0
41547,104682,4040790,Jason Huntley,New Mexico State,373.0,93.25,154.0,40.0,2182.0,545.5,1090.0,167.0,21.9,5.475,7.1,4.2,36.0,4.5,9.0,1.0,164.0,41.0,57.0,17.0,134.0,33.5,47.0,8.0,1119.0,279.75,529.0,35.0,29.8,7.45,11.3,4.4,149.0,37.25,61.0,10.0,14.0,1.75,3.0,0.0
44269,104448,4242873,Eno Benjamin,Arizona State,576.0,192.0,300.0,23.0,2867.0,955.6666666666666,1642.0,142.0,16.0,5.333333333333333,6.2,4.3,54.0,9.0,16.0,1.0,103.0,34.333333333333336,49.0,21.0,82.0,27.333333333333332,42.0,5.0,625.0,208.33333333333334,347.0,15.0,18.8,6.266666666666667,8.3,3.0,114.0,38.0,72.0,13.0,8.0,1.3333333333333333,2.0,0.0
46567,104494,4052042,James Robinson,Illinois State,569.0,142.25,364.0,0.0,3189.0,797.25,1899.0,0.0,11.5,2.875,6.3,0.0,74.0,9.25,18.0,0.0,134.0,33.5,77.0,0.0,37.0,18.5,21.0,16.0,244.0,122.0,164.0,80.0,12.8,6.4,7.8,5.0,61.0,30.5,43.0,18.0,3.0,0.5,1.0,0.0
46802,104447,4243315,Salvon Ahmed,Washington,353.0,117.66666666666667,188.0,61.0,2016.0,672.0,1020.0,388.0,17.6,5.866666666666667,6.4,5.4,42.0,7.0,11.0,3.0,206.0,68.66666666666667,89.0,58.0,50.0,16.666666666666668,21.0,13.0,331.0,110.33333333333333,170.0,77.0,19.3,6.433333333333334,8.1,5.3,60.0,20.0,26.0,11.0,0.0,0.0,0.0,0.0
46904,104496,3916721,Levante Bellamy,Western Michigan,617.0,123.4,266.0,20.0,3720.0,744.0,1472.0,133.0,32.6,6.5200000000000005,8.0,5.5,70.0,7.0,23.0,1.0,288.0,57.6,75.0,27.0,57.0,11.4,30.0,1.0,370.0,74.0,185.0,4.0,39.6,7.92,18.0,3.7,111.0,22.2,58.0,4.0,2.0,0.2,1.0,0.0
47066,104498,4039358,Patrick Taylor Jr.,Memphis,536.0,134.0,208.0,78.0,2884.0,721.0,1122.0,350.0,21.3,5.325,5.9,4.5,72.0,9.0,16.0,2.0,208.0,52.0,70.0,21.0,55.0,13.75,19.0,8.0,434.0,108.5,197.0,37.0,29.299999999999997,7.324999999999999,11.6,3.4,161.0,40.25,75.0,17.0,6.0,0.75,2.0,0.0
47348,104453,4241940,Javon Leake,Maryland,145.0,48.333333333333336,102.0,9.0,1144.0,381.3333333333333,736.0,99.0,27.3,9.1,11.0,7.2,34.0,5.666666666666667,8.0,2.0,189.0,63.0,64.0,61.0,10.0,5.0,9.0,1.0,59.0,29.5,55.0,4.0,10.1,5.05,6.1,4.0,37.0,18.5,33.0,4.0,0.0,0.0,0.0,0.0
47618,104465,4039607,J.J. Taylor,Arizona,587.0,146.75,255.0,38.0,3263.0,815.75,1434.0,261.0,23.199999999999996,5.799999999999999,6.9,4.9,36.0,4.5,6.0,2.0,244.0,61.0,79.0,40.0,62.0,15.5,32.0,2.0,487.0,121.75,289.0,16.0,29.4,7.35,9.0,4.1,82.0,20.5,28.0,16.0,4.0,0.5,2.0,0.0
48050,104505,3917611,Reggie Corbin,Illinois,375.0,93.75,143.0,18.0,2361.0,590.25,1085.0,78.0,23.599999999999998,5.8999999999999995,8.5,4.3,36.0,5.142857142857143,9.0,0.0,229.0,57.25,80.0,30.0,38.0,9.5,16.0,3.0,343.0,85.75,176.0,27.0,34.5,8.625,11.2,3.0,115.0,28.75,52.0,10.0,0.0,0.0,0.0,0.0
48268,104450,4046676,Tony Jones Jr.,Notre Dame,271.0,90.33333333333333,144.0,44.0,1481.0,493.6666666666667,857.0,232.0,16.0,5.333333333333333,6.0,4.7,24.0,4.0,6.0,3.0,147.0,49.0,84.0,31.0,27.0,9.0,15.0,6.0,273.0,91.0,157.0,12.0,35.1,11.700000000000001,26.2,2.0,83.0,27.666666666666668,51.0,8.0,4.0,0.6666666666666666,1.0,0.0
49080,104511,4239083,Michael Warren II,Cincinnati,559.0,186.33333333333334,261.0,54.0,2918.0,972.6666666666666,1329.0,324.0,16.2,5.3999999999999995,6.0,4.8,68.0,11.333333333333334,19.0,1.0,181.0,60.333333333333336,81.0,27.0,51.0,17.0,25.0,5.0,442.0,147.33333333333334,232.0,57.0,28.000000000000004,9.333333333333334,11.4,7.3,67.0,22.333333333333332,30.0,16.0,6.0,1.0,2.0,0.0
49268,104230,3928925,JaMycal Hasty,Baylor,386.0,96.5,119.0,76.0,1998.0,499.5,627.0,314.0,20.400000000000002,5.1000000000000005,5.8,4.1,30.0,3.75,7.0,1.0,199.0,49.75,73.0,31.0,79.0,19.75,26.0,3.0,485.0,121.25,184.0,26.0,26.799999999999997,6.699999999999999,8.7,4.2,135.0,33.75,63.0,17.0,2.0,0.25,1.0,0.0
49587,104516,4035005,Brian Herrien,Georgia,277.0,69.25,103.0,50.0,1413.0,353.25,490.0,265.0,20.8,5.2,5.9,4.3,25.0,3.125,6.0,1.0,117.0,29.25,40.0,23.0,28.0,7.0,16.0,2.0,167.0,41.75,110.0,1.0,19.700000000000003,4.925000000000001,7.0,0.5,45.0,11.25,18.0,1.0,4.0,0.5,1.0,0.0
49807,104519,4362878,Scottie Phillips,Ole Miss,278.0,139.0,153.0,125.0,1470.0,735.0,928.0,542.0,10.399999999999999,5.199999999999999,6.1,4.3,34.0,8.5,12.0,5.0,103.0,51.5,65.0,38.0,18.0,9.0,10.0,8.0,182.0,91.0,105.0,77.0,20.1,10.05,10.5,9.6,60.0,30.0,38.0,22.0,6.0,1.5,2.0,1.0
50040,104525,4038815,Rico Dowdle,South Carolina,428.0,107.0,133.0,66.0,2167.0,541.75,764.0,251.0,19.5,4.875,5.7,3.8,32.0,4.0,6.0,2.0,139.0,34.75,44.0,30.0,62.0,15.5,22.0,11.0,483.0,120.75,167.0,55.0,32.4,8.1,11.6,3.7,101.0,25.25,34.0,19.0,6.0,0.75,1.0,0.0
50726,104403,4038533,Darius Anderson,TCU,430.0,107.5,151.0,27.0,2418.0,604.5,823.0,229.0,24.700000000000003,6.175000000000001,8.5,4.8,36.0,4.5,8.0,1.0,282.0,70.5,93.0,42.0,43.0,10.75,22.0,5.0,224.0,56.0,128.0,19.0,18.8,4.7,6.3,2.7,68.0,17.0,32.0,6.0,0.0,0.0,0.0,0.0
52032,104766,4241457,Najee Harris,Alabama,638.0,159.5,251.0,61.0,3843.0,960.75,1466.0,370.0,24.500000000000004,6.125000000000001,6.7,5.8,66.0,9.428571428571429,26.0,3.0,151.0,37.75,53.0,31.0,80.0,20.0,43.0,4.0,781.0,195.25,425.0,7.0,30.5,7.625,11.3,1.8,94.0,23.5,42.0,4.0,18.0,2.5714285714285716,7.0,0.0
52117,104752,4239996,Travis Etienne,Clemson,686.0,171.5,207.0,107.0,4952.0,1238.0,1658.0,766.0,28.5,7.125,8.1,5.4,126.0,18.0,24.0,13.0,318.0,79.5,90.0,72.0,102.0,25.5,48.0,5.0,1155.0,288.75,588.0,57.0,41.9,10.475,12.3,6.5,146.0,36.5,53.0,23.0,14.0,2.0,4.0,0.0
52569,105146,4361579,Javonte Williams,North Carolina,366.0,122.0,166.0,43.0,2297.0,765.6666666666666,1140.0,224.0,18.1,6.033333333333334,7.3,5.2,39.0,7.8,19.0,5.0,127.0,42.333333333333336,65.0,22.0,50.0,16.666666666666668,25.0,8.0,539.0,179.66666666666666,305.0,58.0,29.9,9.966666666666667,12.2,7.3,102.0,34.0,41.0,26.0,5.0,1.0,3.0,0.0
54251,104826,4240657,Michael Carter,North Carolina,514.0,128.5,177.0,84.0,3403.0,850.75,1245.0,558.0,26.599999999999998,6.6499999999999995,8.0,5.7,35.0,5.0,9.0,2.0,230.0,57.5,65.0,49.0,82.0,20.5,25.0,11.0,656.0,164.0,267.0,100.0,32.5,8.125,10.7,5.4,142.0,35.5,46.0,24.0,10.0,1.4285714285714286,2.0,1.0
57013,105149,4035826,Demetric Felton,UCLA,233.0,58.25,132.0,5.0,1101.0,275.25,668.0,27.0,21.799999999999997,5.449999999999999,7.5,3.8,9.0,1.2857142857142858,5.0,0.0,154.0,38.5,75.0,14.0,99.0,24.75,55.0,2.0,958.0,239.5,594.0,-2.0,27.400000000000002,6.8500000000000005,10.8,-1.0,154.0,38.5,94.0,1.0,13.0,1.8571428571428572,4.0,0.0
57222,104788,4371733,Kenneth Gainwell,Memphis,235.0,117.5,231.0,4.0,1550.0,775.0,1459.0,91.0,29.1,14.55,22.8,6.3,28.0,7.0,13.0,1.0,147.0,73.5,75.0,72.0,57.0,28.5,51.0,6.0,662.0,331.0,610.0,52.0,20.7,10.35,12.0,8.7,82.0,41.0,68.0,14.0,6.0,1.5,3.0,0.0
57577,104765,4241416,Chuba Hubbard,Oklahoma State,585.0,195.0,328.0,124.0,3459.0,1153.0,2094.0,625.0,17.1,5.7,6.4,4.7,61.0,12.2,21.0,5.0,157.0,52.333333333333336,92.0,32.0,53.0,17.666666666666668,23.0,8.0,479.0,159.66666666666666,229.0,52.0,25.5,8.5,10.4,6.5,121.0,40.333333333333336,54.0,21.0,5.0,1.0,2.0,0.0
57911,105325,4374033,Jermar Jefferson,Oregon State,514.0,171.33333333333334,239.0,133.0,2923.0,974.3333333333334,1380.0,685.0,17.1,5.7,6.5,4.8,47.0,9.4,12.0,7.0,198.0,66.0,82.0,54.0,43.0,14.333333333333334,25.0,9.0,299.0,99.66666666666667,147.0,67.0,22.700000000000003,7.566666666666667,9.4,5.9,74.0,24.666666666666668,39.0,15.0,4.0,0.8,2.0,0.0
58629,104783,4046530,Chris Evans,Michigan,320.0,80.0,135.0,16.0,1795.0,448.75,685.0,73.0,21.9,5.475,7.0,4.6,29.0,4.142857142857143,6.0,1.0,201.0,50.25,67.0,16.0,49.0,12.25,18.0,6.0,479.0,119.75,157.0,87.0,42.2,10.55,14.5,8.2,127.0,31.75,56.0,23.0,4.0,0.5714285714285714,1.0,0.0
58770,104867,4241205,Larry Rountree III,Missouri,746.0,186.5,225.0,126.0,3720.0,930.0,1216.0,703.0,20.2,5.05,5.6,4.5,66.0,9.428571428571429,14.0,6.0,210.0,52.5,64.0,41.0,47.0,11.75,15.0,5.0,289.0,72.25,100.0,57.0,27.900000000000002,6.9750000000000005,11.4,4.4,76.0,19.0,25.0,10.0,0.0,0.0,0.0,0.0
59769,105295,4362452,Jaret Patterson,Buffalo,636.0,212.0,312.0,141.0,3884.0,1294.6666666666667,1799.0,1013.0,18.9,6.3,7.6,5.5,85.0,17.0,19.0,14.0,213.0,71.0,82.0,64.0,20.0,10.0,13.0,7.0,271.0,135.5,209.0,62.0,25.0,12.5,16.1,8.9,84.0,42.0,61.0,23.0,2.0,0.5,1.0,0.0
60368,104931,4259805,Kylin Hill,Mississippi State,452.0,90.4,242.0,0.0,2535.0,507.0,1350.0,0.0,20.799999999999997,4.159999999999999,6.3,0.0,32.0,4.0,10.0,0.0,156.0,31.2,62.0,0.0,67.0,16.75,23.0,4.0,631.0,157.75,237.0,38.0,37.8,9.45,10.3,8.0,233.0,58.25,88.0,17.0,11.0,1.5714285714285714,4.0,0.0
60824,104856,4047337,Rakeem Boyd,Arkansas,389.0,129.66666666666666,184.0,82.0,2176.0,725.3333333333334,1133.0,309.0,16.0,5.333333333333333,6.2,3.8,23.0,4.6,8.0,2.0,171.0,57.0,86.0,16.0,52.0,17.333333333333332,23.0,10.0,358.0,119.33333333333333,165.0,33.0,18.900000000000002,6.300000000000001,8.4,3.3,82.0,27.333333333333332,38.0,15.0,0.0,0.0,0.0,0.0
61298,105297,4360326,Pooka Williams Jr.,Kansas,415.0,138.33333333333334,203.0,51.0,2363.0,787.6666666666666,1125.0,196.0,15.899999999999999,5.3,7.0,3.8,22.0,4.4,7.0,2.0,158.0,52.666666666666664,72.0,21.0,66.0,22.0,33.0,6.0,534.0,178.0,289.0,31.0,21.900000000000002,7.300000000000001,8.8,5.2,68.0,22.666666666666668,28.0,13.0,8.0,1.6,2.0,0.0
62044,105298,4360802,Javian Hawkins,Louisville,399.0,133.0,264.0,2.0,2355.0,785.0,1525.0,8.0,16.0,5.333333333333333,6.2,4.0,25.0,6.25,9.0,0.0,163.0,54.333333333333336,90.0,7.0,21.0,7.0,16.0,1.0,189.0,63.0,127.0,4.0,26.4,8.799999999999999,14.5,4.0,73.0,24.333333333333332,40.0,4.0,1.0,0.25,1.0,0.0
63250,105317,4261912,Brenden Knox,Marshall,550.0,183.33333333333334,270.0,95.0,2852.0,950.6666666666666,1387.0,578.0,16.0,5.333333333333333,6.1,4.8,39.0,7.8,11.0,4.0,155.0,51.666666666666664,67.0,43.0,27.0,9.0,14.0,6.0,239.0,79.66666666666667,129.0,24.0,25.5,8.5,12.3,4.0,111.0,37.0,58.0,13.0,1.0,0.2,1.0,0.0
63995,105334,4390717,Josh Johnson,UL Monroe,308.0,102.66666666666667,201.0,19.0,1688.0,562.6666666666666,1298.0,69.0,13.7,4.566666666666666,6.5,3.6,28.0,5.6,11.0,1.0,89.0,29.666666666666668,53.0,10.0,31.0,10.333333333333334,17.0,1.0,175.0,58.333333333333336,122.0,-1.0,11.600000000000001,3.866666666666667,9.4,-1.0,39.0,13.0,26.0,0.0,1.0,0.2,1.0,0.0
64664,105350,4245645,Gary Brightwell,Arizona,245.0,61.25,91.0,0.0,1305.0,326.25,525.0,0.0,16.1,4.025,5.9,0.0,17.0,2.8333333333333335,5.0,0.0,200.0,50.0,94.0,0.0,19.0,6.333333333333333,13.0,2.0,121.0,40.333333333333336,59.0,9.0,23.4,7.8,14.8,4.1,62.0,20.666666666666668,38.0,9.0,2.0,0.4,1.0,0.0
