,player_id,alt_player_id,player_name,school,Total Completions,Mean Completions,Highest Completions,Lowest Completions,Total Passing Attempts,Mean Passing Attempts,Highest Passing Attempts,Lowest Passing Attempts,Total Completion Percentage,Mean Completion Percentage,Highest Completion Percentage,Lowest Completion Percentage,Total Passing Yards,Mean Passing Yards,Highest Passing Yards,Lowest Passing Yards,Total Yards Per Pass Attempt,Mean Yards Per Pass Attempt,Highest Yards Per Pass Attempt,Lowest Yards Per Pass Attempt,Total Passing Touchdowns,Mean Passing Touchdowns,Highest Passing Touchdowns,Lowest Passing Touchdowns,Total Longest Pass,Mean Longest Pass,Highest Longest Pass,Lowest Longest Pass,Total Passer Rating,Mean Passer Rating,Highest Passer Rating,Lowest Passer Rating,Total Rushing Attempts,Mean Rushing Attempts,Highest Rushing Attempts,Lowest Rushing Attempts,Total Rushing Yards,Mean Rushing Yards,Highest Rushing Yards,Lowest Rushing Yards,Total Yards Per Rush Attempt,Mean Yards Per Rush Attempt,Highest Yards Per Rush Attempt,Lowest Yards Per Rush Attempt,Total Rushing Touchdowns,Mean Rushing Touchdowns,Highest Rushing Touchdowns,Lowest Rushing Touchdowns,Total Interceptions,Mean Interceptions,Highest Interceptions,Lowest Interceptions
99,17339,4043089,Jack Thompson,Washington State,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,6.0,3.0,4.0,2.0
1163,52092,3139477,Patrick Mahomes,Texas Tech,857.0,285.6666666666667,388.0,105.0,1349.0,449.6666666666667,591.0,185.0,186.0,62.0,65.7,56.8,11252.0,3750.6666666666665,5052.0,1547.0,25.0,8.333333333333334,8.5,8.1,186.0,31.0,41.0,16.0,253.0,84.33333333333333,90.0,81.0,455.4,151.79999999999998,157.0,147.2,308.0,102.66666666666667,131.0,46.0,845.0,281.6666666666667,456.0,104.0,8.0,2.6666666666666665,3.5,2.2,44.0,7.333333333333333,12.0,0.0,29.0,9.666666666666666,15.0,4.0
1276,51563,3122840,Deshaun Watson,Clemson,814.0,271.3333333333333,388.0,93.0,1207.0,402.3333333333333,579.0,137.0,202.7,67.56666666666666,67.9,67.0,10163.0,3387.6666666666665,4593.0,1466.0,27.0,9.0,10.7,7.9,180.0,30.0,41.0,14.0,206.0,68.66666666666667,74.0,65.0,496.0,165.33333333333334,188.6,151.1,435.0,145.0,207.0,63.0,1934.0,644.6666666666666,1105.0,200.0,12.3,4.1000000000000005,5.3,3.2,52.0,8.666666666666666,12.0,5.0,32.0,10.666666666666666,17.0,2.0
2239,51681,3129302,DeShone Kizer,Notre Dame,423.0,211.5,212.0,211.0,696.0,348.0,361.0,335.0,121.7,60.85,63.0,58.7,5809.0,2904.5,2925.0,2884.0,16.7,8.35,8.6,8.1,94.0,23.5,26.0,21.0,160.0,80.0,81.0,79.0,295.6,147.8,150.0,145.6,263.0,131.5,134.0,129.0,992.0,496.0,520.0,472.0,7.6,3.8,3.9,3.7,36.0,9.0,10.0,8.0,19.0,9.5,10.0,9.0
3296,51567,3123048,Brad Kaaya,Miami,720.0,240.0,261.0,221.0,1188.0,396.0,421.0,378.0,181.7,60.56666666666666,62.0,58.5,9968.0,3322.6666666666665,3532.0,3198.0,25.200000000000003,8.4,8.5,8.3,138.0,23.0,27.0,16.0,223.0,74.33333333333333,79.0,67.0,438.3,146.1,150.3,142.1,94.0,31.333333333333332,37.0,27.0,-386.0,-128.66666666666666,-119.0,-136.0,-12.600000000000001,-4.2,-3.7,-4.9,8.0,1.3333333333333333,2.0,1.0,24.0,8.0,12.0,5.0
4262,101504,3912547,Sam Darnold,USC,549.0,274.5,303.0,246.0,846.0,423.0,480.0,366.0,130.3,65.15,67.2,63.1,7229.0,3614.5,4143.0,3086.0,17.0,8.5,8.6,8.4,114.0,28.5,31.0,26.0,123.0,61.5,67.0,56.0,309.2,154.6,161.1,148.1,137.0,68.5,75.0,62.0,332.0,166.0,250.0,82.0,5.1,2.55,4.0,1.1,14.0,3.5,5.0,2.0,22.0,11.0,13.0,9.0
4564,101506,3886377,Josh Rosen,UCLA,712.0,237.33333333333334,292.0,137.0,1170.0,390.0,487.0,231.0,181.9,60.63333333333333,62.6,59.3,9341.0,3113.6666666666665,3756.0,1915.0,24.1,8.033333333333333,8.3,7.5,118.0,19.666666666666668,26.0,10.0,201.0,67.0,70.0,65.0,420.20000000000005,140.0666666666667,147.0,134.3,109.0,36.333333333333336,50.0,22.0,-154.0,-51.333333333333336,15.0,-97.0,-4.8,-1.5999999999999999,0.4,-3.3,12.0,2.0,2.0,2.0,26.0,8.666666666666666,11.0,5.0
5734,101568,3916387,Lamar Jackson,Louisville,619.0,206.33333333333334,254.0,135.0,1086.0,362.0,430.0,247.0,170.0,56.666666666666664,59.1,54.7,9043.0,3014.3333333333335,3660.0,1840.0,24.6,8.200000000000001,8.7,7.4,138.0,23.0,30.0,12.0,208.0,69.33333333333333,78.0,56.0,422.20000000000005,140.73333333333335,148.8,126.8,655.0,218.33333333333334,260.0,163.0,4132.0,1377.3333333333333,1601.0,960.0,18.8,6.266666666666667,6.9,5.9,100.0,16.666666666666668,21.0,11.0,27.0,9.0,10.0,8.0
7612,101545,3116407,Mason Rudolph,Oklahoma State,915.0,228.75,318.0,49.0,1447.0,361.75,489.0,86.0,247.7,61.925,65.0,57.0,13618.0,3404.5,4904.0,853.0,37.9,9.475,10.0,8.9,184.0,23.0,37.0,6.0,327.0,81.75,91.0,68.0,632.6,158.15,170.6,149.1,225.0,56.25,83.0,14.0,28.0,7.0,61.0,-35.0,-1.6,-0.4,0.7,-2.4,34.0,4.25,10.0,0.0,26.0,6.5,9.0,4.0
13991,101829,3931782,Chase Litton,Marshall,727.0,242.33333333333334,266.0,230.0,1197.0,399.0,443.0,371.0,182.4,60.800000000000004,62.3,60.0,8332.0,2777.3333333333335,3115.0,2605.0,20.8,6.933333333333334,7.0,6.8,144.0,24.0,25.0,23.0,225.0,75.0,83.0,66.0,402.1,134.03333333333333,137.9,131.4,117.0,39.0,48.0,34.0,-77.0,-25.666666666666668,44.0,-133.0,-2.7,-0.9,0.9,-3.9,4.0,0.6666666666666666,1.0,0.0,31.0,10.333333333333334,14.0,8.0
15630,103572,3917792,Daniel Jones,Duke,764.0,254.66666666666666,270.0,237.0,1275.0,425.0,453.0,392.0,180.0,60.0,62.8,56.7,8201.0,2733.6666666666665,2836.0,2674.0,19.3,6.433333333333334,6.8,5.9,104.0,17.333333333333332,22.0,14.0,207.0,69.0,85.0,58.0,370.0,123.33333333333333,131.7,112.0,406.0,135.33333333333334,161.0,104.0,1323.0,441.0,518.0,319.0,9.7,3.233333333333333,3.4,3.1,34.0,5.666666666666667,7.0,3.0,29.0,9.666666666666666,11.0,9.0
16007,103560,4040616,Dwayne Haskins,Ohio State,413.0,206.5,373.0,40.0,590.0,295.0,533.0,57.0,140.2,70.1,70.2,70.0,5396.0,2698.0,4831.0,565.0,19.0,9.5,9.9,9.1,108.0,27.0,50.0,4.0,128.0,64.0,78.0,50.0,347.2,173.6,174.1,173.1,103.0,51.5,79.0,24.0,194.0,97.0,108.0,86.0,5.0,2.5,3.6,1.4,8.0,2.0,4.0,0.0,9.0,4.5,8.0,1.0
17101,103589,3924327,Drew Lock,Missouri,883.0,220.75,275.0,129.0,1553.0,388.25,437.0,263.0,224.29999999999998,56.074999999999996,62.9,49.0,12193.0,3048.25,3964.0,1332.0,30.4,7.6,9.5,5.1,198.0,24.75,44.0,4.0,330.0,82.5,87.0,78.0,537.2,134.3,165.7,90.5,203.0,50.75,55.0,44.0,437.0,109.25,175.0,28.0,8.600000000000001,2.1500000000000004,3.2,0.5,18.0,2.25,6.0,1.0,39.0,9.75,13.0,8.0
22729,103813,3120590,Easton Stick,North Dakota State,175.0,43.75,175.0,0.0,281.0,70.25,281.0,0.0,62.3,15.575,62.3,0.0,2752.0,688.0,2752.0,0.0,9.8,2.45,9.8,0.0,114.0,14.25,28.0,0.0,78.0,19.5,78.0,0.0,172.4,43.1,172.4,0.0,117.0,117.0,117.0,117.0,677.0,677.0,677.0,677.0,5.8,5.8,5.8,5.8,57.0,11.4,17.0,5.0,7.0,7.0,7.0,7.0
22814,103610,3116144,Clayton Thorson,Northwestern,991.0,247.75,299.0,150.0,1696.0,424.0,489.0,295.0,230.9,57.725,61.1,50.8,10731.0,2682.75,3183.0,1522.0,25.0,6.25,6.7,5.2,122.0,15.25,22.0,7.0,259.0,64.75,77.0,58.0,464.3,116.075,125.9,95.9,362.0,90.5,100.0,78.0,408.0,102.0,397.0,-110.0,3.9,0.975,4.0,-1.4,54.0,6.75,9.0,5.0,45.0,11.25,15.0,9.0
23522,103586,4038524,Gardner Minshew,Washington State,761.0,253.66666666666666,468.0,119.0,1168.0,389.3333333333333,662.0,202.0,186.8,62.26666666666667,70.7,57.2,8266.0,2755.3333333333335,4779.0,1347.0,20.9,6.966666666666666,7.2,6.7,124.0,20.666666666666668,38.0,8.0,261.0,87.0,95.0,77.0,400.7,133.56666666666666,147.6,124.0,96.0,32.0,58.0,18.0,43.0,14.333333333333334,119.0,-40.0,-1.9,-0.6333333333333333,2.1,-2.2,8.0,1.3333333333333333,4.0,0.0,20.0,6.666666666666667,9.0,4.0
24328,103637,3116172,Trace McSorley,Penn State,720.0,180.0,284.0,20.0,1215.0,303.75,427.0,40.0,227.60000000000002,56.900000000000006,66.5,50.0,9899.0,2474.75,3614.0,185.0,29.3,7.325,9.3,4.6,154.0,19.25,29.0,2.0,279.0,69.75,93.0,21.0,540.5,135.125,156.9,105.3,473.0,118.25,170.0,13.0,1697.0,424.25,798.0,43.0,13.899999999999999,3.4749999999999996,4.7,2.5,60.0,7.5,12.0,0.0,25.0,8.333333333333334,10.0,7.0
27050,103883,3916564,Tyree Jackson,Buffalo,533.0,177.66666666666666,225.0,143.0,955.0,318.3333333333333,407.0,237.0,168.7,56.23333333333333,60.3,53.1,6999.0,2333.0,3131.0,1772.0,22.2,7.3999999999999995,8.8,5.7,98.0,16.333333333333332,28.0,9.0,219.0,73.0,75.0,69.0,390.2,130.06666666666666,148.8,104.7,201.0,67.0,99.0,47.0,757.0,252.33333333333334,399.0,161.0,11.1,3.6999999999999997,4.2,2.9,32.0,5.333333333333333,7.0,4.0,24.0,8.0,12.0,3.0
30672,103701,3722362,Brett Rypien,Boise State,1036.0,259.0,301.0,218.0,1619.0,404.75,447.0,348.0,255.3,63.825,67.3,61.9,13581.0,3395.25,3705.0,2877.0,33.7,8.425,9.3,7.8,180.0,22.5,30.0,16.0,322.0,80.5,87.0,74.0,596.0999999999999,149.02499999999998,156.0,140.6,210.0,52.5,85.0,37.0,-97.0,-24.25,12.0,-72.0,-2.6,-0.65,0.1,-1.8,6.0,0.75,2.0,0.0,29.0,7.25,8.0,6.0
33469,104093,4241479,Tua Tagovailoa,Alabama,474.0,158.0,245.0,49.0,684.0,228.0,355.0,77.0,204.0,68.0,71.4,63.6,7442.0,2480.6666666666665,3966.0,636.0,30.8,10.266666666666667,11.3,8.3,174.0,29.0,43.0,11.0,226.0,75.33333333333333,85.0,60.0,581.4,193.79999999999998,206.9,175.0,107.0,35.666666666666664,57.0,23.0,340.0,113.33333333333333,190.0,17.0,8.899999999999999,2.9666666666666663,4.9,0.7,18.0,3.0,5.0,2.0,11.0,3.6666666666666665,6.0,2.0
33550,104099,4038941,Justin Herbert,Oregon,827.0,206.75,286.0,139.0,1293.0,323.25,428.0,206.0,257.2,64.3,67.5,59.4,10541.0,2635.25,3471.0,1936.0,33.1,8.275,9.6,7.6,190.0,23.75,32.0,15.0,295.0,73.75,83.0,67.0,617.8,154.45,167.5,144.7,231.0,57.75,71.0,44.0,560.0,140.0,183.0,50.0,10.200000000000001,2.5500000000000003,4.2,0.9,26.0,3.25,5.0,2.0,23.0,5.75,8.0,4.0
34476,104199,4036378,Jordan Love,Utah State,689.0,229.66666666666666,293.0,129.0,1125.0,375.0,473.0,235.0,180.8,60.26666666666667,64.0,54.9,8600.0,2866.6666666666665,3567.0,1631.0,22.7,7.566666666666666,8.6,6.9,120.0,20.0,32.0,8.0,245.0,81.66666666666667,88.0,77.0,406.70000000000005,135.5666666666667,158.3,119.3,170.0,56.666666666666664,81.0,43.0,403.0,134.33333333333334,175.0,63.0,7.3,2.433333333333333,3.6,1.5,18.0,3.0,7.0,0.0,29.0,9.666666666666666,17.0,6.0
39289,104196,4035003,Jacob Eason,Washington,468.0,156.0,260.0,4.0,782.0,260.6666666666667,405.0,7.0,176.4,58.800000000000004,64.2,55.1,5590.0,1863.3333333333333,3132.0,28.0,18.3,6.1000000000000005,7.7,4.0,78.0,15.6,23.0,0.0,144.0,48.0,77.0,10.0,354.9,118.3,143.9,90.7,82.0,27.333333333333332,46.0,3.0,-126.0,-42.0,-12.0,-69.0,-6.9,-2.3000000000000003,-1.4,-4.0,3.0,0.6,1.0,0.0,16.0,8.0,8.0,8.0
39453,104646,3914395,James Morgan,Florida International,699.0,174.75,213.0,96.0,1221.0,305.25,357.0,212.0,224.7,56.175,65.3,45.3,8629.0,2157.25,2727.0,1260.0,27.900000000000002,6.9750000000000005,8.4,5.9,130.0,16.25,26.0,9.0,284.0,71.0,76.0,61.0,505.4,126.35,157.6,102.6,132.0,33.0,45.0,26.0,-189.0,-47.25,-37.0,-72.0,-5.7,-1.425,-1.3,-1.6,6.0,0.75,2.0,0.0,34.0,8.5,15.0,5.0
41286,104128,4240689,Jake Fromm,Georgia,621.0,207.0,234.0,181.0,982.0,327.3333333333333,385.0,291.0,190.3,63.43333333333334,67.3,60.8,8224.0,2741.3333333333335,2860.0,2615.0,25.4,8.466666666666667,9.0,7.4,156.0,26.0,30.0,24.0,215.0,71.66666666666667,80.0,60.0,472.49999999999994,157.49999999999997,171.2,141.2,134.0,44.666666666666664,55.0,38.0,40.0,13.333333333333334,79.0,-27.0,0.39999999999999997,0.13333333333333333,1.4,-0.7,6.0,1.0,3.0,0.0,18.0,6.0,7.0,5.0
44389,104459,4038220,Cole McDonald,Hawai'i,616.0,205.33333333333334,326.0,5.0,1004.0,334.6666666666667,511.0,9.0,178.3,59.43333333333334,63.8,55.6,8032.0,2677.3333333333335,4135.0,22.0,18.5,6.166666666666667,8.1,2.4,140.0,23.333333333333332,36.0,1.0,148.0,49.333333333333336,80.0,9.0,406.9,135.63333333333333,147.6,112.8,251.0,83.66666666666667,134.0,16.0,880.0,293.3333333333333,383.0,138.0,15.100000000000001,5.033333333333334,8.6,2.7,24.0,4.0,7.0,1.0,24.0,12.0,14.0,10.0
44551,104701,3895785,Ben DiNucci,James Madison,570.0,142.5,268.0,3.0,854.0,213.5,378.0,9.0,228.20000000000002,57.050000000000004,70.9,33.3,6823.0,1705.75,3441.0,16.0,25.200000000000003,6.300000000000001,9.1,1.8,102.0,12.75,29.0,1.0,208.0,52.0,80.0,7.0,467.20000000000005,116.80000000000001,169.5,40.5,286.0,71.5,122.0,2.0,1146.0,286.5,569.0,18.0,20.0,5.0,9.0,2.3,34.0,4.25,9.0,0.0,25.0,6.25,12.0,2.0
44980,104707,3791110,Tommy Stevens,Mississippi State,121.0,30.25,97.0,2.0,202.0,50.5,161.0,3.0,251.5,62.875,72.7,51.9,1459.0,364.75,1155.0,36.0,35.1,8.775,12.0,5.9,30.0,3.75,11.0,0.0,172.0,43.0,88.0,23.0,610.5,152.625,168.5,136.8,159.0,39.75,83.0,21.0,887.0,221.75,381.0,118.0,25.199999999999996,6.299999999999999,9.4,4.2,24.0,3.0,4.0,2.0,6.0,3.0,5.0,1.0
45239,104154,4036149,Nate Stanley,Iowa,673.0,168.25,237.0,5.0,1155.0,288.75,399.0,9.0,230.1,57.525,59.4,55.6,8302.0,2075.5,2951.0,62.0,28.4,7.1,7.4,6.9,136.0,19.428571428571427,26.0,0.0,257.0,64.25,75.0,37.0,516.3,129.075,136.5,113.4,161.0,53.666666666666664,76.0,36.0,-104.0,-34.666666666666664,7.0,-115.0,-2.0999999999999996,-0.6999999999999998,0.1,-2.3,4.0,0.6666666666666666,1.0,0.0,23.0,7.666666666666667,10.0,6.0
46236,104233,4055171,Anthony Gordon,Washington State,496.0,248.0,493.0,3.0,694.0,347.0,689.0,5.0,131.6,65.8,71.6,60.0,5596.0,2798.0,5579.0,17.0,11.5,5.75,8.1,3.4,96.0,32.0,48.0,0.0,71.0,35.5,65.0,6.0,206.5,103.25,157.9,48.6,51.0,51.0,51.0,51.0,-20.0,-20.0,-20.0,-20.0,-0.4,-0.4,-0.4,-0.4,0.0,0.0,0.0,0.0,17.0,8.5,16.0,1.0
47940,104229,3915436,Steven Montez,Colorado,824.0,206.0,258.0,83.0,1321.0,330.25,405.0,140.0,247.5,61.875,64.7,59.3,9710.0,2427.5,2975.0,1078.0,29.6,7.4,7.9,6.9,126.0,15.75,19.0,9.0,333.0,83.25,96.0,69.0,541.6,135.4,138.0,130.1,343.0,85.75,132.0,52.0,960.0,240.0,338.0,153.0,11.9,2.975,4.4,2.4,22.0,2.75,4.0,1.0,33.0,8.25,10.0,5.0
48841,104143,3929824,Brian Lewerke,Michigan State,721.0,180.25,260.0,31.0,1249.0,312.25,436.0,57.0,227.29999999999998,56.824999999999996,59.6,54.3,8293.0,2073.25,3079.0,381.0,26.5,6.625,7.1,6.0,94.0,11.75,20.0,2.0,198.0,49.5,64.0,34.0,478.29999999999995,119.57499999999999,127.7,106.1,345.0,86.25,123.0,21.0,1255.0,313.75,559.0,149.0,16.9,4.225,7.1,2.0,20.0,2.5,5.0,0.0,32.0,8.0,13.0,1.0
48970,104629,4035671,Tyler Huntley,Utah,574.0,143.5,220.0,5.0,854.0,213.5,312.0,7.0,272.4,68.1,73.1,63.8,7351.0,1837.75,3092.0,60.0,34.2,8.55,10.3,7.6,92.0,11.5,19.0,0.0,262.0,65.5,83.0,36.0,599.2,149.8,177.5,138.2,389.0,97.25,168.0,9.0,1146.0,286.5,537.0,15.0,10.5,2.625,3.2,1.7,32.0,4.0,6.0,1.0,20.0,6.666666666666667,10.0,4.0
50994,104734,4360310,Trevor Lawrence,Clemson,758.0,252.66666666666666,268.0,231.0,1138.0,379.3333333333333,407.0,334.0,200.2,66.73333333333333,69.2,65.2,10098.0,3366.0,3665.0,3153.0,26.700000000000003,8.9,9.4,8.3,156.0,31.2,36.0,24.0,244.0,81.33333333333333,87.0,74.0,493.49999999999994,164.49999999999997,169.2,157.6,231.0,77.0,103.0,60.0,943.0,314.3333333333333,563.0,177.0,11.5,3.8333333333333335,5.5,3.0,28.0,5.6,9.0,1.0,17.0,5.666666666666667,8.0,4.0
51174,104933,4361259,Zach Wilson,BYU,566.0,188.66666666666666,247.0,120.0,837.0,279.0,336.0,182.0,201.8,67.26666666666667,73.5,62.4,7652.0,2550.6666666666665,3692.0,1578.0,27.2,9.066666666666666,11.0,7.5,79.0,15.8,33.0,11.0,223.0,74.33333333333333,78.0,70.0,484.4,161.46666666666667,196.4,130.8,212.0,70.66666666666667,75.0,67.0,642.0,214.0,254.0,167.0,9.0,3.0,3.6,2.5,20.0,4.0,10.0,2.0,15.0,5.0,9.0,3.0
51482,104742,4383351,Trey Lance,North Dakota State,208.0,69.33333333333333,192.0,1.0,318.0,106.0,287.0,1.0,216.9,72.3,100.0,50.0,2947.0,982.3333333333334,2786.0,12.0,26.7,8.9,12.0,5.0,58.0,11.6,28.0,0.0,123.0,41.0,88.0,12.0,488.5,162.83333333333334,200.8,107.1,192.0,64.0,169.0,8.0,1325.0,441.6666666666667,1100.0,82.0,26.3,8.766666666666667,10.3,6.5,34.0,6.8,14.0,2.0,1.0,1.0,1.0,1.0
51590,104739,4362887,Justin Fields,Ohio State,423.0,141.0,238.0,27.0,618.0,206.0,354.0,39.0,206.60000000000002,68.86666666666667,70.2,67.2,5701.0,1900.3333333333333,3273.0,328.0,26.900000000000002,8.966666666666667,9.3,8.4,112.0,22.4,41.0,4.0,182.0,60.666666666666664,65.0,57.0,530.7,176.9,181.4,173.7,260.0,86.66666666666667,137.0,42.0,1133.0,377.6666666666667,484.0,266.0,14.5,4.833333333333333,6.3,3.5,33.0,6.6,10.0,4.0,9.0,4.5,6.0,3.0
51816,104935,4241464,Mac Jones,Alabama,413.0,137.66666666666666,311.0,5.0,556.0,185.33333333333334,402.0,13.0,184.7,61.56666666666666,77.4,38.5,6126.0,2042.0,4500.0,123.0,31.4,10.466666666666667,11.2,9.5,71.0,14.2,41.0,1.0,269.0,89.66666666666667,94.0,85.0,533.2,177.73333333333335,203.1,143.3,54.0,18.0,35.0,3.0,42.0,14.0,36.0,-8.0,-3.3306690738754696e-16,-1.1102230246251565e-16,2.3,-2.7,3.0,0.6,1.0,0.0,7.0,3.5,4.0,3.0
54886,104791,4240904,Kellen Mond,Texas A&M,801.0,200.25,258.0,117.0,1358.0,339.5,419.0,227.0,233.7,58.425,63.3,51.5,9661.0,2415.25,3107.0,1375.0,28.2,7.05,7.7,6.1,123.0,17.571428571428573,24.0,8.0,256.0,64.0,81.0,52.0,521.8,130.45,146.9,108.8,438.0,109.5,149.0,74.0,1608.0,402.0,500.0,294.0,15.0,3.75,4.0,3.2,40.0,5.714285714285714,8.0,3.0,27.0,6.75,9.0,3.0
55474,105144,4034946,Kyle Trask,Florida,552.0,184.0,301.0,14.0,813.0,271.0,437.0,22.0,199.4,66.46666666666667,68.9,63.6,7386.0,2462.0,4283.0,162.0,25.5,8.5,9.8,7.4,95.0,19.0,43.0,1.0,182.0,60.666666666666664,71.0,45.0,476.6,158.86666666666667,180.0,140.5,132.0,44.0,64.0,5.0,54.0,18.0,50.0,-4.0,0.09999999999999998,0.033333333333333326,0.8,-0.8,13.0,2.6,4.0,1.0,15.0,7.5,8.0,7.0
55972,105275,4242546,Davis Mills,Stanford,287.0,95.66666666666667,158.0,0.0,438.0,146.0,241.0,2.0,131.8,43.93333333333334,66.2,0.0,3468.0,1156.0,1960.0,0.0,15.8,5.266666666666667,8.1,0.0,29.0,7.25,11.0,0.0,101.0,33.666666666666664,54.0,0.0,284.70000000000005,94.90000000000002,144.8,0.0,63.0,21.0,32.0,1.0,86.0,28.666666666666668,44.0,5.0,7.6000000000000005,2.5333333333333337,5.0,1.2,3.0,0.75,3.0,0.0,8.0,4.0,5.0,3.0
60571,105150,4046678,Ian Book,Notre Dame,728.0,182.0,240.0,46.0,1141.0,285.25,399.0,75.0,254.29999999999998,63.574999999999996,68.2,60.2,8948.0,2237.0,3034.0,456.0,30.1,7.525,8.4,6.1,129.0,18.428571428571427,34.0,4.0,266.0,66.5,75.0,55.0,566.7,141.675,154.0,119.3,360.0,90.0,116.0,37.0,1518.0,379.5,546.0,207.0,17.6,4.4,5.6,2.9,25.0,3.5714285714285716,9.0,0.0,20.0,5.0,7.0,3.0
61520,105211,4034948,Feleipe Franks,Arkansas,530.0,106.0,188.0,0.0,860.0,172.0,322.0,0.0,257.6,51.52,76.1,0.0,6700.0,1340.0,2457.0,0.0,32.6,6.5200000000000005,9.8,0.0,93.0,11.625,24.0,0.0,279.0,55.8,82.0,0.0,593.1,118.62,173.4,0.0,294.0,73.5,110.0,21.0,642.0,160.5,350.0,20.0,8.6,2.15,3.2,0.3,17.0,2.4285714285714284,7.0,0.0,21.0,5.25,8.0,3.0
62565,105151,4039034,Shane Buechele,SMU,952.0,190.4,307.0,30.0,1508.0,301.6,490.0,44.0,321.0,64.2,68.2,60.4,11660.0,2332.0,3929.0,273.0,36.8,7.359999999999999,8.4,6.2,151.0,16.77777777777778,34.0,2.0,333.0,66.6,85.0,44.0,695.3000000000001,139.06,152.9,126.8,291.0,58.2,97.0,10.0,468.0,93.6,151.0,8.0,7.3999999999999995,1.48,1.8,0.8,14.0,1.5555555555555556,2.0,0.0,32.0,6.4,11.0,1.0
